psa_mean_power,psa_low_high_ratio,filename,original_class_x,ridge_density,ridge_connectivity,ridge_entropy,ridge_noise_ratio,ridge_mean_strength,wavelet_density,wavelet_connectivity,wavelet_entropy,wavelet_noise_ratio,wavelet_mean_strength,grad_density,grad_connectivity,grad_entropy,grad_noise_ratio,grad_mean_strength,color_u_g,color_g_r,color_r_i,color_i_z,original_class_y,edge_segmentation_num_objects,edge_segment_area,edge_segment_perimeter,edge_segment_eccentricity,edge_segment_solidity,edge_segment_orientation,edge_segment_major_axis_length,edge_segment_minor_axis_length,edge_segment_aspect_ratio,edge_segment_mean_intensity,edge_segment_max_intensity,edge_segment_min_intensity,edge_segment_bbox_area,edge_segment_weighted_centroid_row,edge_segment_weighted_centroid_col,edge_segment_std_intensity,edge_segment_shape_index_mean,chanvese_segmentation_num_objects,chanvese_segment_area,chanvese_segment_perimeter,chanvese_segment_eccentricity,chanvese_segment_solidity,chanvese_segment_orientation,chanvese_segment_major_axis_length,chanvese_segment_minor_axis_length,chanvese_segment_aspect_ratio,chanvese_segment_mean_intensity,chanvese_segment_max_intensity,chanvese_segment_min_intensity,chanvese_segment_bbox_area,chanvese_segment_weighted_centroid_row,chanvese_segment_weighted_centroid_col,chanvese_segment_std_intensity,chanvese_segment_shape_index_mean,watershed_segmentation_num_objects,watershed_segment_area,watershed_segment_perimeter,watershed_segment_eccentricity,watershed_segment_solidity,watershed_segment_orientation,watershed_segment_major_axis_length,watershed_segment_minor_axis_length,watershed_segment_aspect_ratio,watershed_segment_mean_intensity,watershed_segment_max_intensity,watershed_segment_min_intensity,watershed_segment_bbox_area,watershed_segment_weighted_centroid_row,watershed_segment_weighted_centroid_col,watershed_segment_std_intensity,watershed_segment_shape_index_mean,edge_seg_error
30111238.69109651,88.54752180687625,1237645876861404028.jpg,GALAXY,0.01214599609375,34,1.1611251668792375,0.95697021484375,0.0419975109398365,0.84576416015625,1,3.654863404699173,0.03045654296875,0.176957219839096,0.08941650390625,63,2.7148015500731653,0.58807373046875,0.0580448769032955,-0.5325199999999981,0.221070000000001,1.5185199999999988,0.7680000000000007,GALAXY,2,840.0,173.36753236814712,0.9331981863475036,0.7155025553662692,-1.535218594024835,59.410325850618094,21.349821615265377,2.782708301793913,7.298809523809524,19.0,5.0,1596.0,67.1200456695482,69.71619637905725,2.329929185906273,0.3266623318195343,2,12944.0,2154.1139238614837,0.2553524920647422,0.7929429061504534,-0.43079689147223127,147.11754942653818,142.240312208592,1.0342887128284268,3.402889369592089,19.0,0.0,16384.0,64.71528140395486,63.86891275228733,1.89295445565847,0.082754046,3,14519.0,503.8111831820431,0.5294451189976792,0.9686436720261525,0.8483331394983066,151.05488748098165,128.14653627801863,1.1787668388731358,3.40016530064054,19.0,0.0,15876.0,61.50061782162173,66.12230842465614,1.6809552498257332,0.058267012,
25488405.65608499,86.41522544389885,1237645876861404029.jpg,GALAXY,0.0135498046875,22,1.0601606247894075,0.96649169921875,0.0403327383100986,0.8631591796875,2,3.362388332898897,0.01702880859375,0.1666813492774963,0.23638916015625,119,3.2648339499547165,0.40264892578125,0.082407996058464,0.7105800000000002,0.1917399999999993,2.0293300000000016,0.1598299999999994,GALAXY,1,637.0,114.08326112068524,0.6086417205491994,0.864314789687924,1.418689649536066,33.77854477523992,26.80142358917325,1.260326514479819,9.692307692307692,18.0,5.0,972.0,115.78927761580823,22.150631681243926,3.3865771394805075,0.3452776372432709,3,7040.0,781.7127701597078,0.8377499980300086,0.65148991301129,-0.9299008528485188,162.84969534473788,88.9247230511352,1.8313208043514841,4.207670454545455,18.0,2.0,15232.0,78.98322192964689,67.12946458713118,2.1936888360890228,0.2278744,4,14528.0,581.4802307403552,0.5179758270861196,0.9420308649980548,0.7511043125670157,150.87785226118982,129.06019893332441,1.1690502068661535,2.6819933920704844,14.0,0.0,15876.0,62.47387331896109,66.51775998357458,1.150703956137282,0.037732188,
38290708.72459241,13.468037025376008,1237645876861404031.jpg,GALAXY,0.00689697265625,4,0.1589518354610592,0.99066162109375,0.1883002966642379,0.017578125,5,1.520480304151323,0.95684814453125,0.0317128263413906,0.03216552734375,4,0.8721827207424478,0.94415283203125,0.0499782897531986,0.6315200000000019,0.956509999999998,1.1732600000000026,0.7570099999999975,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3711.0,1215.749350086167,0.9270709671711355,0.4724379376193507,0.7608674055388904,152.42323452492047,57.14131816438648,2.667478445044321,7.248720021557531,130.0,1.0,14080.0,44.274795539033455,43.976840148698884,12.177673172955915,0.056705303,4,8950.0,482.4507934888324,0.7860741172000927,0.8910792512943051,0.9154987075429561,148.85572342163394,92.01252369889636,1.617776770353049,3.7079329608938547,63.0,0.0,13734.0,41.5857891882119,67.1594347013801,4.006594239915865,0.010324697,NoValidObjectFound
31727846.234112594,19.86091252228288,1237645876861404032.jpg,GALAXY,0.007080078125,3,0.1508872099614151,0.99078369140625,0.2292473018169403,0.0556640625,14,2.48486994977864,0.39361572265625,0.0585418604314327,0.0294189453125,4,1.0559180474918513,0.95440673828125,0.0353130102157592,1.093399999999999,1.81156,1.154799999999998,0.04251,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,5832.0,1442.56053326821,0.7040755130011445,0.5857774206508638,-1.0809304737493133,124.62981487037489,88.50276100636032,1.408202562871663,4.49056927297668,58.0,0.0,12650.0,61.632937492840504,63.89552865706976,4.421691010304306,-0.00020578696,3,15222.0,556.1248916810279,0.37236719043081384,0.9777121202389364,-0.8946738205046826,148.11606206828648,137.46436794114172,1.0774869465206105,3.2296675863881226,30.0,0.0,15876.0,64.23823278141654,63.948212033684555,2.1211357952791845,0.03322428,NoValidObjectFound
31282238.727539137,11.171108818401455,1237645876861404033.jpg,GALAXY,0.0074462890625,3,0.1690894877820358,0.99066162109375,0.220091164112091,0.04052734375,6,2.32115234635511,0.38739013671875,0.0571306981146335,0.03338623046875,4,1.1464143279957142,0.94677734375,0.0369911938905715,-0.0050500000000006,0.7050699999999992,1.1476499999999987,0.4973600000000004,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2843.0,758.4579361637687,0.8814200740152887,0.6042507970244421,0.6253229990946044,108.47609647211932,51.236861919537745,2.1171494976111136,4.9141751670770315,50.0,0.0,7200.0,38.45465607329468,42.570682127263616,4.962152172442075,0.14399558,3,14016.0,649.4802307403552,0.5420987539040458,0.9303684035844673,0.7822580971646724,152.9840447368085,128.55475494600228,1.190030231095438,3.369506278538813,58.0,0.0,15876.0,68.6578652042264,61.17547165816165,2.8044796472528652,0.06837993,NoValidObjectFound
25643777.347140763,11.73589166808836,1237645876861404034.jpg,GALAXY,0.00689697265625,2,0.1237508013655733,0.9921875,0.1779350787401199,0.0213623046875,4,1.5533370541341351,0.86614990234375,0.037122081965208,0.01959228515625,2,0.960323859780708,0.95947265625,0.0327609591186046,1.16216,0.5585300000000011,1.936709999999998,0.0588900000000016,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3581.0,1570.708765546351,0.7650423090080688,0.43766805182107066,0.7628126356442956,120.16249614961653,77.38224660542427,1.5528432091449964,3.8695895001396257,39.0,1.0,11663.0,66.53388179259579,74.4552211878473,3.6890480074808245,0.1695768,3,10115.0,620.7827919510468,0.5358828998163878,0.829574345936193,1.2635633009202962,129.8151902910321,109.60196788018717,1.1844239004261428,3.1184379634206625,48.0,0.0,14868.0,77.64147354405098,55.85676695304822,3.016548710295259,0.064031765,NoValidObjectFound
51179849.365571454,154.57214014244084,1237645876861404035.jpg,GALAXY,0.01190185546875,2,0.2307402095775964,0.98577880859375,0.1850109845399856,0.0296630859375,3,1.680366447390893,0.93511962890625,0.0387499146163463,0.047119140625,5,1.100524454681173,0.92755126953125,0.0481621548533439,0.0616999999999983,1.5206300000000006,1.401019999999999,1.123370000000001,GALAXY,1,165.0,44.970562748477136,0.32446912535065153,0.9705882352941176,0.668495157522932,14.907900938145268,14.101328151714029,1.0571983559104112,65.56969696969696,103.0,35.0,196.0,7.434975506054164,67.15112302430909,19.103299490489178,0.6317338943481445,4,1296.0,264.7523086789974,0.8807800555516,0.7849788007268322,1.5234979246342952,61.33229937840522,29.04241385523132,2.1118182422484013,15.658179012345679,103.0,2.0,1920.0,9.606169615138224,67.08840486867393,21.549318493822526,-0.008362782,3,15721.0,524.9705627484772,0.15507071097164843,0.9902368354749307,1.520157813793063,146.1961431110791,144.42766291485808,1.0122447470278846,3.237135042300108,59.0,0.0,15876.0,59.79528796840306,61.40242872020593,3.613912368628108,0.039542846,
40569230.71709234,20.046869334617394,1237645876861404037.jpg,GALAXY,0.0069580078125,2,0.1248945418794416,0.9921875,0.3161540925502777,0.01348876953125,3,1.9565843664440137,0.780517578125,0.042367435991764,0.02593994140625,2,0.8666510248704522,0.9542236328125,0.0394302383065223,0.313600000000001,1.789860000000001,1.041249999999998,0.446830000000002,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4868.0,1205.4833688019348,0.7768774099723487,0.6428099828337515,1.338536834776201,121.92849279346936,76.77250470204524,1.5881791699603252,5.229868529170091,39.0,1.0,10000.0,32.20224674967595,76.89917121646569,2.6919253370985765,0.22112262,4,10279.0,769.3635277547903,0.7279715307371529,0.7308211873444721,-0.8975219357231052,157.38167505523396,107.90203455762166,1.4585607741361843,3.4958653565521938,45.0,0.0,15876.0,70.10302220738019,73.23145210663995,3.0083965623266553,0.022467947,NoValidObjectFound
14612508.769033851,14.485340004007922,1237645876861404038.jpg,GALAXY,0.00653076171875,2,0.1599763077162592,0.99249267578125,0.1397182792425155,0.0235595703125,4,1.735275800584473,0.802734375,0.0427879206836223,0.0218505859375,4,1.2689657516354014,0.96221923828125,0.0341031923890113,0.9145900000000003,1.4213200000000017,0.951349999999998,0.6702000000000012,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1028.0,381.4213562373095,0.7015780568544495,0.60435038212816,1.5366626728533335,53.63689873694567,38.22125775034286,1.4033263658484532,2.7237354085603114,4.0,1.0,2250.0,20.1125,19.544285714285714,0.728479077645505,0.32895455,2,15741.0,524.7695526217005,0.14135072911965635,0.9951950433078334,-0.9236824469795308,145.85377376254374,144.38934071435858,1.0101422517821603,2.026554856743536,29.0,0.0,15876.0,62.60943573667711,62.00721003134796,1.4823978344825732,0.037643973,NoValidObjectFound
27176971.49288894,34.44729174958976,1237645876861404039.jpg,GALAXY,0.0013427734375,8,0.0765707388542754,0.997314453125,0.0383254289627075,0.08935546875,9,2.4515670917923886,0.3526611328125,0.0712311044335365,0.02447509765625,4,1.34197276773952,0.94744873046875,0.0317627601325511,-2.911529999999999,-7.900090000000002,11.60069,-10.15614,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8353.0,2566.912913734707,0.44653983239256756,0.5650409253872691,-0.33053328243714114,139.8972993757431,125.17503296830309,1.1176134414214054,3.947084879683946,43.0,0.0,16384.0,60.74992417349105,61.69256900212314,3.1047133143616517,0.15150933,4,15101.0,610.9949493661168,0.316549067066456,0.9652285075103867,0.9341874968090351,148.82276740833424,141.16972584142323,1.0542116344088373,2.757300841003907,18.0,0.0,15876.0,61.80712330083097,62.0555982515971,1.2279849330159334,0.0569815,NoValidObjectFound
27927113.39102614,36.9666590348933,1237645876861404040.jpg,GALAXY,0.0032958984375,1,0.149878361377356,0.99468994140625,0.1111947745084762,0.08892822265625,15,2.5381782375000626,0.33477783203125,0.0741161108016967,0.02508544921875,2,1.3154919075093392,0.94622802734375,0.0318643152713775,-1.161010000000001,2.08653,1.4450800000000008,0.4567999999999976,GALAXY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8531.0,2250.5514780209696,0.5732664548866274,0.594660532552628,-0.22598761114389604,146.60970433451084,120.12744804228426,1.220451335009672,4.034462548353066,42.0,1.0,15616.0,60.30161543378465,72.2495205996862,2.994620034565715,0.18176062,3,15492.0,608.5685424949238,0.19451187183437557,0.9758125472411187,1.1213234611780845,147.2449424949821,144.43258824001694,1.0194717431102986,2.785631293570875,17.0,0.0,15876.0,64.68235430425212,66.12415710809871,1.262507308789751,0.05877492,NoValidObjectFound
21168770.21221374,77.08940233271778,1237645876861404041.jpg,GALAXY,0.0030517578125,28,0.6494240992906439,0.96484375,0.040526520460844,0.864013671875,2,3.5959974692233203,0.00787353515625,0.1910252124071121,0.10302734375,125,2.78290498644257,0.51849365234375,0.0618314668536186,1.5749400000000016,-1.9956400000000016,4.027619999999999,-0.4726199999999991,GALAXY,2,800.0,191.13098833543773,0.8919338750036407,0.5988023952095808,-0.12373853411088852,64.37721812076322,29.109180030218575,2.2115778614833013,5.57625,15.0,4.0,1938.0,41.83635956063663,58.88007173279534,1.6444409194312821,0.35515135526657104,1,13194.0,1859.1128778409575,0.2928641258689074,0.8138918018629325,0.7142492404502322,148.17455122317267,141.677700083102,1.045856554251374,2.8260572987721693,15.0,0.0,16384.0,66.38292166170515,60.7895244991552,1.3323609886982968,0.12223339,3,11484.0,593.350288425444,0.3952009751497084,0.7908546243371669,-1.4253749663980584,136.22191148994557,125.13272342516757,1.0886194095456543,3.066440264716127,15.0,0.0,15876.0,73.43282692034644,59.81328979128212,1.2304304451237766,0.14321071,
66537605.5770441,37.26537435760714,1237645876861404042.jpg,GALAXY,0.026123046875,8,0.5137452605339999,0.9642333984375,0.1538812965154647,0.27557373046875,24,3.1225653050434947,0.2276611328125,0.0947610661387443,0.094482421875,12,2.2501178862022178,0.8323974609375,0.0617989562451839,-0.4482599999999976,0.5436999999999976,1.1072500000000003,-2.2897299999999987,GALAXY,2,114.0,36.970562748477136,0.06816306229861012,0.9661016949152542,-0.6947382761966929,12.061247207918687,12.033195084162726,1.002331228203296,29.333333333333332,50.0,13.0,144.0,107.39862440191388,103.3151913875598,11.530787671598388,0.559156596660614,4,3319.0,429.6173157302028,0.9280263884878575,0.6285984848484848,-0.7498497784751199,126.69378481129283,47.195266725687354,2.684459557092325,8.710153660741186,48.0,3.0,9894.0,73.82700888996507,62.128229962987305,6.795625549639772,-0.009033311,3,15380.0,677.9238815542512,0.14410287744217112,0.9687578735197783,0.9972529084305508,146.76683562621994,145.23498787407303,1.0105473741181092,4.111443433029909,33.0,0.0,15876.0,62.86659075813645,59.606556599297846,2.390447313503004,-0.024725279,
